seed,decisions,simulated_hours,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,operating_cost_eur,vented_t,stored_t,captured_t,storage_rate,loss_rate,cost_per_stored_t_eur,unit_total_cost_eur_per_t
9000031,720,720.0,6569936.182541507,402606.23913119326,6972542.421672701,1622745.684095901,66872.45921971012,41147.24381633658,134043.80710806392,0.3069686299133861,0.4988851082526971,169.45344997577726,169.45344997577726
9000032,720,720.0,4721117.883193115,418761.40520260186,5139879.288395717,1676403.057293281,43293.452888780404,37097.18802602362,118765.80374023803,0.3123558032509238,0.36452793249705867,138.5517221626097,138.5517221626097
9000033,720,720.0,5757590.479274653,420465.1925357825,6178055.671810435,1641927.8241451478,56701.59809581609,31461.955144770032,127077.96740974122,0.2475799368377236,0.4461953496076268,196.36591697440718,196.36591697440718
9000034,720,720.0,4290641.901717146,419636.14966200216,4710278.051379148,1760277.5161421644,36875.00669046229,42074.03409793127,123422.09958543938,0.34089546555481637,0.29877150700175403,111.95213752062693,111.95213752062693
9000035,720,720.0,5021709.594673982,397882.76678806206,5419592.361462044,1670448.201531949,46864.30199912623,43841.47619192415,116933.45658342756,0.374926710223818,0.4007775308146334,123.61792604192382,123.61792604192382
9000036,720,720.0,5211611.319560841,437398.28413115104,5649009.603691991,1678433.011097367,49632.20740743282,33402.79302466765,124518.99931170137,0.26825458933421337,0.39859144132046326,169.11788183461937,169.11788183461937
9000037,720,720.0,5639344.865375769,426129.60883806844,6065474.474213838,1664423.3510404653,55013.13903966712,35709.20659118793,121647.55872136065,0.2935464300848118,0.4522338106733178,169.8574416299306,169.8574416299306
9000038,720,720.0,5769762.378834474,414491.28116726235,6184253.660001736,1657889.7692650235,56579.5486342088,38919.72589524438,128369.72617542402,0.30318461412045483,0.44075461029565377,158.89766738458437,158.89766738458437
9000039,720,720.0,6536742.03306846,414147.52933789964,6950889.56240636,1543049.6844829991,67597.99847404205,20477.585719731378,125712.08383662622,0.16289273946284893,0.5377207696428891,339.4389190962469,339.4389190962469
9000040,720,720.0,5789742.543607276,410867.4552983998,6200609.9989056755,1654324.5124255465,56828.56858100152,39882.22470033502,128417.59580770151,0.3105666668924134,0.44252945418865547,155.47302201658746,155.47302201658746
