algorithm,model_seed,test_episodes,mean_total_cost_eur,median_total_cost_eur,mean_unit_cost_eur_per_t,mean_vented_t,mean_stored_t,mean_delta_vs_greedy_eur,paired_bootstrap_95pct_ci_low_eur,paired_bootstrap_95pct_ci_high_eur,wins,ties,losses,win_rate
High-level Centralized Maskable PPO,0,30,2184255.8519518254,2104723.911113398,20.456291039871992,3841.8859915629628,107722.3037305534,-69955.71168474079,-238860.557095539,95095.6350105119,17,0,13,0.5666666666666667
High-level Centralized Maskable PPO,1,30,2162642.2192420918,2037954.125151628,20.152263672529823,3450.1661754296542,108488.21607500727,-91569.34439447446,-265310.5174500901,74301.60729041451,15,0,15,0.5
High-level Centralized Maskable PPO,2,30,2214834.1568977213,2106845.146153335,21.231274193331167,4118.367225022617,106008.1867050353,-39377.406738845144,-231909.34125070804,146637.57613153933,16,0,14,0.5333333333333333
